nationality,arrival_airport_iata,departure_airport_iata,departure_year,departure_month,departure_day,departure_date,arrival_airport_description,departure_airport_description,arrival_city,departure_city,arrival_country_code,departure_country_code,arrival_country,departure_country,zone,entries,investigated,alarms,document_type,gender,age_group,transit_flag,airline,flight_number,control_outcome,operator_notes,risk_code,Tipo Documento,FASCIA ETA
ALB,MXP,RUH,2024,02,8,2024-02-08 01:40:00,MALPENSA,KING KHALED INTERNATIONAL,MILANO,RIYADH,ITA,SAU,ITALIA,ARABIA SAUDITA,2,1,1,0,N.D.,M,N.D.,SINGOLA TRATTA,GULF AIR,GF0023,OK,,,N.D.,N.D.
ALB,VRN,TIA,2024,02,1,2024-02-01 13:20:00,VERONA VILLAFRANCA,RINAS MOTHER TERESA,VERONA,TIRANA,ITA,ALB,ITALIA,ALBANIA,4,169,169,13,N.D.,F,61+,SINGOLA TRATTA,WIZZ AIR MALTA,W43849,RESPINTO,,,N.D.,61+
ALB,TSF,TIA,2024,01,19,2024-01-19 19:05:00,TREVISO-SANT'ANGELO,RINAS MOTHER TERESA,TREVISO,TIRANA,ITA,ALB,ITALIA,ALBANIA,4,105,105,12,CARTA D'IDENTITÀ,F,N.D.,SINGOLA TRATTA,RYANAIR DAC,FR8400,SEGNALATO,,,CARTA D'IDENTITÀ,N.D.
ALB,TRN,TIA,2024,01,31,2024-01-31 07:10:00,SANDRO PERTINI,RINAS MOTHER TERESA,TORINO,TIRANA,ITA,ALB,ITALIA,ALBANIA,1,132,132,28,N.D.,F,61+,SINGOLA TRATTA,,W46603,IN ATTESA,,,N.D.,61+
ALB,VCE,TIA,2024,02,15,2024-02-15 21:20:00,VENEZIA MARCO POLO,RINAS MOTHER TERESA,VENEZIA,TIRANA,ITA,ALB,ITALIA,ALBANIA,4,24,24,6,N.D.,F,0-17,SINGOLA TRATTA,WIZZ AIR MALTA,W46718,IN ATTESA,,,N.D.,0-17
ALB,BLQ,TIA,2024,02,2,2024-02-02 11:15:00,GUGLIELMO MARCONI,RINAS MOTHER TERESA,BOLOGNA,TIRANA,ITA,ALB,ITALIA,ALBANIA,8,73,73,6,VISTO,M,N.D.,SINGOLA TRATTA,WIZZ AIR MALTA,W43877,,,,VISTO,N.D.
ALB,VCE,SAW,2024,02,27,2024-02-27 11:45:00,VENEZIA MARCO POLO,SABIHA GOKCEN,VENEZIA,ISTANBUL,ITA,TUR,ITALIA,TURCHIA,4,2,2,0,PERMESSO DI SOGGIORNO,F,46-60,SINGOLA TRATTA,N.D.,PC1235,RESPINTO,,,PERMESSO DI SOGGIORNO,46-60
ALB,AOI,TIA,2024,02,3,2024-02-03 11:15:00,FALCONARA,RINAS MOTHER TERESA,ANCONA,TIRANA,ITA,ALB,ITALIA,ALBANIA,8,100,100,12,VISTO,M,46-60,SINGOLA TRATTA,WIZZ AIR MALTA,W43855,,,,VISTO,46-60
ALB,FCO,LHR,2024,01,11,2024-01-11 18:25:00,FIUMICINO,LONDON HEATHROW,ROMA,LONDRA,ITA,GBR,ITALIA,REGNO UNITO,5,1,1,0,CARTA D'IDENTITÀ,M,61+,SINGOLA TRATTA,BRITISH AIRWAYS,BA0558,FERMATO,,,CARTA D'IDENTITÀ,61+
ALB,FCO,LGW,2024,01,24,2024-01-24 09:50:00,FIUMICINO,LONDON GATWICK,ROMA,LONDRA,ITA,GBR,ITALIA,REGNO UNITO,5,1,,0,N.D.,M,46-60,SINGOLA TRATTA,WIZZ AIR MALTA,W45781,OK,,,N.D.,46-60
ALB,MXP,TIA,2024,01,27,2024-01-27 20:15:00,MALPENSA,RINAS MOTHER TERESA,MILANO,TIRANA,ITA,ALB,ITALIA,ALBANIA,2,68,68,14,PERMESSO DI SOGGIORNO,M,0-17,SINGOLA TRATTA,WIZZ AIR MALTA,W46629,RESPINTO,,,PERMESSO DI SOGGIORNO,0-17
N.D.,BGY,TIA,2024,02,12,2024-02-12 08:25:00,ORIO AL SERIO,RINAS MOTHER TERESA,BERGAMO,TIRANA,ITA,ALB,ITALIA,ALBANIA,2,96,96,17,CARTA D'IDENTITÀ,M,31-45,SINGOLA TRATTA,RYANAIR DAC,FR8350,,,,CARTA D'IDENTITÀ,31-45
ALB,VRN,TIA,2024,01,3,2024-01-03 21:05:00,VERONA VILLAFRANCA,RINAS MOTHER TERESA,VERONA,TIRANA,ITA,ALB,ITALIA,ALBANIA,4,93,0,0,PASSAPORTO,F,0-17,SINGOLA TRATTA,WIZZ AIR MALTA,W43849,SEGNALATO,,,PASSAPORTO,0-17
ALB,MXP,JED,2024,02,20,2024-02-20 19:40:00,MALPENSA,KING ABDULAZIZ INTERNATIONAL,MILANO,JEDDAH,ITA,SAU,ITALIA,ARABIA SAUDITA,2,2,2,0,PERMESSO DI SOGGIORNO,F,46-60,SINGOLA TRATTA,WIZZ AIR MALTA,W45692,SEGNALATO,,,PERMESSO DI SOGGIORNO,46-60
ALB,TRN,TIA,2024,02,19,2024-02-19 06:25:00,SANDRO PERTINI,RINAS MOTHER TERESA,TORINO,TIRANA,ITA,ALB,ITALIA,ALBANIA,1,114,114,18,N.D.,M,31-45,SINGOLA TRATTA,WIZZ AIR MALTA,W46603,RESPINTO,,,N.D.,31-45
ALB,FCO,CAN,2024,02,29,2024-02-29 12:35:00,FIUMICINO,NEW BAIYUN,ROMA,GUANGZHOU,ITA,CHN,ITALIA,CINA,5,2,2,0,PERMESSO DI SOGGIORNO,M,31-45,SINGOLA TRATTA,CHINA EASTERN AIRLINES,MU0787,SEGNALATO,,,PERMESSO DI SOGGIORNO,31-45
ALB,BGY,SAW,2024,01,28,2024-01-28 13:15:00,ORIO AL SERIO,SABIHA GOKCEN,BERGAMO,ISTANBUL,ITA,TUR,ITALIA,TURCHIA,2,3,3,0,,F,31-45,SINGOLA TRATTA,PEGASUS AIRLINES,PC1213,,,,PASSAPORTO,31-45
ALB,CIA,STN,2024,02,29,2024-02-29 08:05:00,CIAMPINO,STANSTED,ROMA,LONDRA,ITA,GBR,ITALIA,REGNO UNITO,5,1,1,0,N.D.,M,N.D.,SINGOLA TRATTA,RYANAIR DAC,FR2510,FERMATO,,,N.D.,N.D.
AND,FCO,BKK,2024,02,18,2024-02-18 02:30:00,FIUMICINO,SUVARNABHUMI INTERNATIONAL,ROMA,BANGKOK,ITA,THA,ITALIA,THAILANDIA,5,1,1,0,N.D.,N.D.,31-45,SINGOLA TRATTA,QATAR AIRWAYS,QR0115,SEGNALATO,,,N.D.,31-45
ALB,BGY,STN,2024,01,18,2024-01-18 17:50:00,ORIO AL SERIO,STANSTED,BERGAMO,LONDRA,ITA,GBR,ITALIA,REGNO UNITO,2,1,1,6,VISTO,N.D.,46-60,SINGOLA TRATTA,RYANAIR DAC,FR4189,,,,VISTO,46-60
ALB,FCO,LGW,2023,01,21,2024-01-21 07:30:00,FIUMICINO,LONDON GATWICK,ROMA,LONDRA,ITA,GBR,ITALIA,REGNO UNITO,5,1,1,0,PASSAPORTO,M,18-30,SINGOLA TRATTA,EASYJET,U26571,,,,PASSAPORTO,18-30
ALB,TSF,TIA,2024,02,17,2024-02-17 17:10:00,TREVISO-SANT'ANGELO,RINAS MOTHER TERESA,TREVISO,TIRANA,ITA,ALB,ITALIA,ALBANIA,4,79,79,10,PERMESSO DI SOGGIORNO,N.D.,46-60,SINGOLA TRATTA,RYANAIR DAC,FR8400,SEGNALATO,,,PERMESSO DI SOGGIORNO,46-60
ALB,PSA,TIA,2024,02,22,2024-02-22 06:50:00,GALILEO GALILEI,RINAS MOTHER TERESA,PISA,TIRANA,ITA,ALB,ITALIA,ALBANIA,8,181,181,16,N.D.,N.D.,18-30,SINGOLA TRATTA,WIZZ AIR MALTA,W43853,SEGNALATO,,,N.D.,18-30
ALB,BGY,DXB,2024,02,1,2024-02-01 18:00:00,ORIO AL SERIO,DUBAI INTERNATIONAL,BERGAMO,DUBAI,ITA,ARE,ITALIA,EMIRATI ARABI UNITI,2,3,3,2,CARTA D'IDENTITÀ,N.D.,18-30,SINGOLA TRATTA,FLY DUBAI,FZ1571,IN ATTESA,,,CARTA D'IDENTITÀ,18-30
ALB,MXP,HRG,2024,02,13,2024-02-13 13:05:00,MALPENSA,HURGHADA INTERNATIONAL,MILANO,HURGHADA,ITA,EGY,ITALIA,EGITTO,2,1,1,0,VISTO,M,N.D.,SINGOLA TRATTA,EASYJET EUROPE,EC3894,FERMATO,,,VISTO,N.D.
ALB,MXP,TGD,2024,02,17,2024-02-17 16:35:00,MALPENSA,GOLUBOVCI,MILANO,PODGORICA,ITA,MNE,ITALIA,MONTENEGRO,2,16,16,2,N.D.,F,61+,SINGOLA TRATTA,WIZZ AIR MALTA,W44901,OK,,,N.D.,61+
ALB,MXP,PRN,2024,02,14,2024-02-15 16:10:00,MALPENSA,PRISHTINA INTERNATIONAL,MILANO,PRISTINA,ITA,RKS,ITALIA,COSSOVO,2,4,4,2,PASSAPORTO,N.D.,18-30,SINGOLA TRATTA,WIZZ AIR MALTA,,FERMATO,,,PASSAPORTO,18-30
ALB,FCO,TIA,2024,01,4,2024-01-04 05:35:00,FIUMICINO,RINAS MOTHER TERESA,ROMA,TIRANA,ITA,ALB,ITALIA,ALBANIA,5,26,0,0,,,18-30,SINGOLA TRATTA,ITA AIRWAYS,AZ0507,RESPINTO,,,N.D.,18-30
ALB,BLQ,STN,2024,02,22,2024-02-22 12:05:00,GUGLIELMO MARCONI,STANSTED,BOLOGNA,LONDRA,ITA,GBR,ITALIA,REGNO UNITO,8,,,,CARTA D'IDENTITÀ,N.D.,18-30,SINGOLA TRATTA,RYANAIR DAC,FR0194,SEGNALATO,,,CARTA D'IDENTITÀ,18-30
ALB,MXP,JFK,2024,02,8,2024-02-08 17:00:00,MALPENSA,JOHN F KENNEDY INTERNATIONAL,MILANO,NEW YORK,ITA,USA,ITALIA,STATI UNITI,2,2,2,0,PASSAPORTO,M,61+,SINGOLA TRATTA,NEOS S.P.A.,NO0789,,,,PASSAPORTO,61+
ALB,MXP,JFK,2024,01,7,,MALPENSA,JOHN F KENNEDY INTERNATIONAL,MILANO,NEW YORK,ITA,USA,ITALIA,STATI UNITI,2,1,1,0,VISTO,F,31-45,SINGOLA TRATTA,EMIRATES,EK0206,RESPINTO,,,VISTO,31-45
ALB,TSF,TIA,2024,01,4,2024-01-04 15:25:00,TREVISO-SANT'ANGELO,RINAS MOTHER TERESA,TREVISO,TIRANA,ITA,AL,ITALIA,ALBANIA,4,79,79,23,PERMESSO DI SOGGIORNO,F,N.D.,SINGOLA TRATTA,WIZZ AIR MALTA,W44809,RESPINTO,,,PERMESSO DI SOGGIORNO,N.D.
ALB,BLQ,TIA,2024,02,17,2024-02-17 07:10:00,GUGLIELMO MARCONI,RINAS MOTHER TERESA,BOLOGNA,TIRANA,ITA,ALB,ITALIA,ALBANIA,8,139,139,11,CARTA D'IDENTITÀ,M,31-45,SINGOLA TRATTA,WIZZ AIR MALTA,W46681,SEGNALATO,,,CARTA D'IDENTITÀ,31-45
AFG,NAP,KBL,2024,01,4,2024-01-04 07:30:00,NAPOLI CAPODICHINO,KHWAJA RAWASH,NAPOLI,KABUL,ITA,AFG,ITALIA,AFGHANISTAN,6,1,1,0,,M,0-17,SINGOLA TRATTA,FLY DUBAI,FZ1681,SEGNALATO,,,N.D.,0-17
ALB,BGY,TIA,2023,01,24,2024-01-24 20:35:00,ORIO AL SERIO,RINAS MOTHER TERESA,BERGAMO,TIRANA,ITA,ALB,ITALIA,ALBANIA,2,100,100,22,PASSAPORTO,M,18-30,SINGOLA TRATTA,RYANAIR DAC,FR8356,OK,,,PASSAPORTO,18-30
AFG,MXP,ALA,2024,01,26,2024-01-26 05:45:00,MALPENSA,ALMATY,MILANO,ALMATY,ITA,KAZ,ITALIA,KAZAKISTAN,2,1,1,0,PASSAPORTO,F,0-17,SINGOLA TRATTA,NEOS S.P.A.,NO0764,IN ATTESA,,,PASSAPORTO,0-17
ALB,FLR,TIA,2024,01,2,2024-01-02 07:20:00,FIRENZE PERETOLA,RINAS MOTHER TERESA,FIRENZE,TIRANA,ITA,ALB,ITALIA,ALBANIA,8,93,93,12,VISTO,F,61+,SINGOLA TRATTA,ALBAWINGS,2B0267,RESPINTO,,,VISTO,61+
ALB,PEG,STN,2024,02,20,2024-02-20 12:35:00,SANT EGIDIO,STANSTED,PERUGIA,LONDRA,ITA,GBR,ITALIA,REGNO UNITO,5,,3,0,PASSAPORTO,F,31-45,SINGOLA TRATTA,RYANAIR DAC,FR2497,OK,,,PASSAPORTO,31-45
AFG,BLQ,IFN,2024,02,29,2024-02-29 09:25:00,GUGLIELMO MARCONI,ISFAHAN INTERNATIONAL,BOLOGNA,ISFAHAN,ITA,IRN,ITALIA,IRAN,8,1,1,1,PASSAPORTO,M,N.D.,SINGOLA TRATTA,TURKISH AIRLINES,TK1321,IN ATTESA,,,PASSAPORTO,N.D.
AFG,BGY,MHD,2024,01,24,2024-01-24 18:00:00,ORIO AL SERIO,MASHAD,BERGAMO,MASHAD,ITA,IRN,ITALIA,IRAN,2,1,1,1,PASSAPORTO,F,0-17,SINGOLA TRATTA,FLY DUBAI,FZ1571,RESPINTO,,,PASSAPORTO,0-17
ALB,BLQ,TIA,2024,01,30,,GUGLIELMO MARCONI,RINAS MOTHER TERESA,BOLOGNA,TIRANA,ITA,ALB,ITALIA,ALBANIA,8,115,115,20,N.D.,M,31-45,SINGOLA TRATTA,N.D.,FR8399,RESPINTO,,,N.D.,31-45
ALB,BLQ,TIA,2024,01,19,2024-01-19 06:50:00,GUGLIELMO MARCONI,RINAS MOTHER TERESA,BOLOGNA,TIRANA,ITA,ALB,ITALIA,ALBANIA,8,48,48,3,PASSAPORTO,M,0-17,SINGOLA TRATTA,WIZZ AIR MALTA,W46681,SEGNALATO,,,PASSAPORTO,0-17
,TSF,TIA,2024,01,8,2024-01-08 16:35:00,TREVISO-SANT'ANGELO,RINAS MOTHER TERESA,TREVISO,TIRANA,ITA,ALB,ITALIA,ALBANIA,4,47,47,9,N.D.,F,18-30,SINGOLA TRATTA,WIZZ AIR MALTA,W44809,IN ATTESA,,,N.D.,18-30
ALB,FCO,RUH,2024,02,9,,FIUMICINO,KING KHALED INTERNATIONAL,ROMA,RIYADH,ITA,SAU,ITALIA,ARABIA SAUDITA,5,2,2,0,VISTO,F,0-17,SINGOLA TRATTA,WIZZ AIR MALTA,W48394,,,,VISTO,0-17
ALB,FCO,SSH,2024,01,7,2024-01-07 22:05:00,FIUMICINO,SHARM EL-SHEIKH INTERNATIONAL,ROMA,SHARM EL SHEIKH,ITA,EGY,ITALIA,EGITTO,5,3,0,0,VISTO,F,31-45,SINGOLA TRATTA,WIZZ AIR MALTA,W48280,SEGNALATO,,,VISTO,31-45
ALB,NAP,TIA,2024,01,27,2024-01-03 10:30:00,NAPOLI CAPODICHINO,RINAS MOTHER TERESA,NAPOLI,TIRANA,ITA,ALB,ITALIA,ALBANIA,6,100,100,19,CARTA D'IDENTITÀ,M,46-60,SINGOLA TRATTA,WIZZ AIR MALTA,W44825,,,,CARTA D'IDENTITÀ,46-60
N.D.,BGY,TIA,2024,01,6,,ORIO AL SERIO,RINAS MOTHER TERESA,BERGAMO,TIRANA,ITA,ALB,ITALIA,ALBANIA,2,90,90,25,VISTO,M,61+,SINGOLA TRATTA,WIZZ AIR MALTA,W43869,,,,VISTO,61+
ALB,BRI,TIA,2024,01,13,2024-01-13 11:35:00,PALESE,RINAS MOTHER TERESA,BARI,TIRANA,ITA,ALB,ITALIA,ALBANIA,9,78,79,3,PERMESSO DI SOGGIORNO,F,0-17,SINGOLA TRATTA,WIZZ AIR MALTA,W46601,OK,,,PERMESSO DI SOGGIORNO,0-17
ALB,FCO,EWR,2024,02,19,,FIUMICINO,NEWARK LIBERTY INTERNATIONAL,ROMA,NEWARK,ITA,USA,ITALIA,STATI UNITI,5,2,2,0,PERMESSO DI SOGGIORNO,F,18-30,SINGOLA TRATTA,UNITED AIRLINES,UA0040,RESPINTO,,R1,PERMESSO DI SOGGIORNO,18-30
ALB,SUF,TIA,2024,01,2,2024-01-02 05:35:00,LAMEZIA TERME,RINAS MOTHER TERESA,LAMEZIA TERME,TIRANA,ITA,ALB,ITALIA,ALBANIA,6,1,0,0,,M,61+,SINGOLA TRATTA,ITA AIRWAYS,AZ0507,,,,VISTO,61+
ALB,BGY,RAK,2024,01,6,2024-01-06 20:35:00,ORIO AL SERIO,MENARA,BERGAMO,MARRAKECH,ITA,MAR,ITALIA,MAROCCO,2,1,1,0,VISTO,N.D.,31-45,SINGOLA TRATTA,RYANAIR DAC,FR3403,SEGNALATO,,,VISTO,31-45
ALB,MXP,TIA,2024,01,11,2024-01-11 06:20:00,MALPENSA,RINAS MOTHER TERESA,MILANO,TIRANA,ITA,ALB,ITALIA,ALBANIA,2,128,128,,VISTO,F,31-45,SINGOLA TRATTA,WIZZ AIR MALTA,W46607,FERMATO,,,VISTO,31-45
ALB,BRI,TIA,2024,01,24,2024-01-24 21:00:00,PALESE,RINAS MOTHER TERESA,BARI,TIRANA,ITA,ALB,ITALIA,ALBANIA,9,48,48,4,PASSAPORTO,M,46-60,SINGOLA TRATTA,WIZZ AIR MALTA,W46647,,,,PASSAPORTO,46-60
ALB,MXP,TIA,2024,01,24,2024-01-24 10:30:00,MALPENSA,RINAS MOTHER TERESA,MILANO,TIRANA,ITA,ALB,ITALIA,ALBANIA,2,79,79,12,N.D.,F,N.D.,SINGOLA TRATTA,WIZZ AIR MALTA,W46629,,,,N.D.,N.D.
ALB,FCO,TIA,2024,02,14,2024-02-14 16:25:00,FIUMICINO,RINAS MOTHER TERESA,ROMA,TIRANA,ITA,ALB,ITALIA,ALBANIA,5,79,79,8,N.D.,F,46-60,SINGOLA TRATTA,WIZZ AIR MALTA,W43887,RESPINTO,,,N.D.,46-60
ALB,MXP,TIA,2024,02,25,2024-02-25 06:20:00,MALPENSA,RINAS MOTHER TERESA,MILANO,TIRANA,ITA,ALB,ITALIA,ALBANIA,2,101,101,8,N.D.,N.D.,31-45,SINGOLA TRATTA,WIZZ AIR MALTA,W46607,,,,N.D.,31-45
ALB,BGY,TIA,2024,02,15,2024-02-15 12:10:00,ORIO AL SERIO,RINAS MOTHER TERESA,BERGAMO,TIRANA,ITA,ALB,ITALIA,ALBANIA,2,110,110,17,N.D.,F,N.D.,SINGOLA TRATTA,,W43885,SEGNALATO,,,N.D.,N.D.
AFG,VCE,IKA,2024,01,12,2024-01-12 13:05:00,VENEZIA MARCO POLO,IMAM KHOMEINI INTERNATIONAL,VENEZIA,TEHRAN,ITA,IRN,ITALIA,IRAN,4,1,1,0,,M,31-45,SINGOLA TRATTA,TURKISH AIRLINES,TK1871,SEGNALATO,,,PASSAPORTO,31-45
ALB,SUF,TIA,2024,01,11,2024-01-11 21:00:00,LAMEZIA TERME,RINAS MOTHER TERESA,LAMEZIA TERME,TIRANA,ITA,ALB,ITALIA,ALBANIA,6,37,37,5,VISTO,F,46-60,SINGOLA TRATTA,WIZZ AIR MALTA,W44819,OK,,,VISTO,46-60
ALB,CIA,TIA,2024,02,19,2024-02-29 18:55:00,CIAMPINO,RINAS MOTHER TERESA,ROMA,TIRANA,ITA,ALB,ITALIA,ALBANIA,5,75,0,0,PERMESSO DI SOGGIORNO,F,61+,SINGOLA TRATTA,RYANAIR DAC,FR8360,FERMATO,SEGNALAZIONE ESTERNA,,PERMESSO DI SOGGIORNO,61+
ALB,BRI,TIA,2024,01,5,2024-01-05 11:35:00,PALESE,RINAS MOTHER TERESA,BARI,TIRANA,ITA,ALB,ITALIA,ALBANIA,9,106,106,6,VISTO,F,31-45,SINGOLA TRATTA,WIZZ AIR MALTA,W46601,IN ATTESA,,,VISTO,31-45
ALB,CIA,MAN,2024,02,25,2024-02-25 15:45:00,CIAMPINO,MANCHESTER,ROMA,MANCHESTER,ITA,GBR,ITALIA,REGNO UNITO,5,1,1,0,VISTO,F,31-45,SINGOLA TRATTA,RYANAIR DAC,FR3204,FERMATO,,,VISTO,31-45
ALB,BRI,TIA,2024,02,14,2024-02-14 11:35:00,PALESE,RINAS MOTHER TERESA,BARI,TIRANA,ITA,ALB,ITALIA,ALBANIA,9,52,52,7,N.D.,M,31-45,SINGOLA TRATTA,WIZZ AIR MALTA,W46601,RESPINTO,,,N.D.,31-45
ALB,BGY,TIA,2024,01,5,2024-01-05 12:10:00,ORIO AL SERIO,RINAS MOTHER TERESA,BERGAMO,TIRANA,ITA,ALB,ITALIA,ALBANIA,2,94,94,22,N.D.,F,46-60,SINGOLA TRATTA,WIZZ AIR MALTA,W43885,,,,N.D.,46-60
ALB,MXP,MBA,2024,01,25,2024-01-25 11:20:00,MALPENSA,MOI INTERNATIONAL,MILANO,MOMBASA,ITA,KEN,ITALIA,KENYA,2,1,1,0,PERMESSO DI SOGGIORNO,F,0-17,SINGOLA TRATTA,NEOS S.P.A.,NO0347,OK,,,PERMESSO DI SOGGIORNO,0-17
ALB,BRI,TIA,2024,02,4,2024-02-04 20:55:00,PALESE,RINAS MOTHER TERESA,BARI,TIRANA,ITA,ALB,ITALIA,ALBANIA,9,26,26,1,PASSAPORTO,F,46-60,SINGOLA TRATTA,WIZZ AIR MALTA,W46647,OK,,,PASSAPORTO,46-60
ALB,PSR,STN,2024,02,25,,LIBERI,STANSTED,PESCARA,LONDRA,ITA,GBR,ITALIA,REGNO UNITO,9,1,1,1,PASSAPORTO,M,61+,SINGOLA TRATTA,RYANAIR DAC,FR0982,IN ATTESA,,,PASSAPORTO,61+
ALB,TSF,LTN,2024,01,31,2024-01-31 13:45:00,TREVISO-SANT'ANGELO,LONDON LUTON,TREVISO,LONDRA,ITA,GBR,ITALIA,REGNO UNITO,4,1,1,0,N.D.,M,0-17,SINGOLA TRATTA,RYANAIR DAC,FR1050,IN ATTESA,,,N.D.,0-17
ALB,GOA,STN,2024,02,17,,CRISTOFORO COLOMBO,STANSTED,GENOVA,LONDRA,ITA,GBR,ITALIA,REGNO UNITO,1,3,3,0,PASSAPORTO,F,N.D.,SINGOLA TRATTA,RYANAIR DAC,FR0972,,,,PASSAPORTO,N.D.
ALB,GOA,TIA,2024,01,26,2024-01-26 16:20:00,CRISTOFORO COLOMBO,RINAS MOTHER TERESA,GENOVA,TIRANA,ITA,ALB,ITALIA,ALBANIA,1,135,135,9,CARTA D'IDENTITÀ,F,46-60,SINGOLA TRATTA,WIZZ AIR MALTA,W4-6637,,,,CARTA D'IDENTITÀ,46-60
ALB,BGY,BRS,2024,02,19,2024-02-19 18:10:00,ORIO AL SERIO,BRISTOL,BERGAMO,BRISTOL,ITA,GBR,ITALIA,REGNO UNITO,2,1,1,0,VISTO,F,31-45,SINGOLA TRATTA,RYANAIR DAC,FR3560,IN ATTESA,,,VISTO,31-45
ALB,FCO,TLV,2024,01,10,2024-01-10 06:10:00,FIUMICINO,BEN GURION INTERNATIONAL,ROMA,TEL AVIV YAFO,ITA,ISR,ITALIA,ISRAELE,5,1,4,0,VISTO,M,46-60,SINGOLA TRATTA,EL AL ISRAEL AIRLINES,LY0385,SEGNALATO,,,VISTO,46-60
ALB,AOI,TIA,2024,02,25,,FALCONARA,RINAS MOTHER TERESA,ANCONA,TIRANA,ITA,ALB,ITALIA,ALBANIA,8,115,115,16,PASSAPORTO,F,61+,SINGOLA TRATTA,WIZZ AIR MALTA,W43855,SEGNALATO,,,PASSAPORTO,61+
ALB,PSR,TIA,2024,01,11,2024-01-11 11:15:00,LIBERI,RINAS MOTHER TERESA,PESCARA,TIRANA,ITA,ALB,ITALIA,ALBANIA,9,119,119,16,VISTO,M,18-30,SINGOLA TRATTA,WIZZ AIR MALTA,W43863,FERMATO,,,VISTO,18-30
ALB,PSA,TIA,2024,02,18,2024-02-18 16:05:00,GALILEO GALILEI,RINAS MOTHER TERESA,PISA,TIRANA,ITA,ALB,ITALIA,ALBANIA,8,65,65,20,PASSAPORTO,F,46-60,SINGOLA TRATTA,WIZZ AIR MALTA,W46649,FERMATO,,,PASSAPORTO,46-60
ALB,VCE,LGW,2024,01,14,2024-01-14 09:00:00,VENEZIA MARCO POLO,LONDON GATWICK,VENEZIA,LONDRA,ITA,GBR,ITALIA,REGNO UNITO,4,1,1,1,PERMESSO DI SOGGIORNO,F,0-17,SINGOLA TRATTA,WIZZ AIR MALTA,W45789,IN ATTESA,,,PERMESSO DI SOGGIORNO,0-17
ALB,FCO,TIA,2024,02,20,2024-02-20 15:45:00,FIUMICINO,RINAS MOTHER TERESA,ROMA,TIRANA,ITA,ALB,ITALIA,ALBANIA,5,17,17,6,N.D.,M,N.D.,SINGOLA TRATTA,ITA AIRWAYS,AZ0585,IN ATTESA,,,N.D.,N.D.
ALB,TSF,TIA,2024,02,26,,TREVISO-SANT'ANGELO,RINAS MOTHER TERESA,TREVISO,TIRANA,ITA,ALB,ITALIA,ALBANIA,4,86,86,13,VISTO,M,18-30,SINGOLA TRATTA,WIZZ AIR MALTA,W44809,OK,,,VISTO,18-30
ALB,PSA,TIA,2024,02,7,2024-02-07 15:15:00,GALILEO GALILEI,RINAS MOTHER TERESA,PISA,TIRANA,ITA,ALB,ITALIA,ALBANIA,8,94,94,14,N.D.,F,31-45,SINGOLA TRATTA,WIZZ AIR MALTA,W46649,,,,N.D.,31-45
AFG,FCO,SAW,2024,02,10,2024-02-10 15:35:00,FIUMICINO,SABIHA GOKCEN,ROMA,ISTANBUL,ITA,TUR,ITALIA,TURCHIA,5,1,1,0,VISTO,M,N.D.,SINGOLA TRATTA,PEGASUS AIRLINES,PC1225,OK,,,VISTO,N.D.
ALB,BGY,STN,2024,02,29,,ORIO AL SERIO,STANSTED,BERGAMO,LONDRA,ITA,GBR,ITALIA,REGNO UNITO,2,1,1,0,VISTO,M,18-30,SINGOLA TRATTA,RYANAIR DAC,FR2738,,,,VISTO,18-30
ALB,MXP,EWR,2024,02,8,2024-02-08 09:20:00,MALPENSA,NEWARK LIBERTY INTERNATIONAL,MILANO,NEWARK,ITA,USA,ITALIA,STATI UNITI,2,2,2,0,N.D.,F,61+,SINGOLA TRATTA,BRITISH AIRWAYS,N.D.,,,,N.D.,61+
ALB,CTA,TIA,2023,01,16,2024-01-16 12:55:00,FONTANAROSSA,RINAS MOTHER TERESA,CATANIA,TIRANA,ITA,ALB,ITALIA,ALBANIA,7,26,26,3,N.D.,F,46-60,SINGOLA TRATTA,WIZZ AIR MALTA,W46605,,,,N.D.,46-60
AFG,BGY,IKA,2024,01,17,2024-01-17 11:40:00,ORIO AL SERIO,IMAM KHOMEINI INTERNATIONAL,BERGAMO,TEHRAN,ITA,IRN,ITALIA,IRAN,2,3,3,0,N.D.,N.D.,61+,SINGOLA TRATTA,TURKISH AIRLINES,TK7794,SEGNALATO,,,N.D.,61+
ALB,NAP,LHR,2024,02,5,2024-02-05 14:15:00,NAPOLI CAPODICHINO,LONDON HEATHROW,NAPOLI,LONDRA,ITA,GBR,ITALIA,REGNO UNITO,6,1,0,0,PASSAPORTO,F,0-17,SINGOLA TRATTA,BRITISH AIRWAYS,BA0534,,,,PASSAPORTO,0-17
ALB,FCO,TIA,2024,01,20,2024-01-20 15:45:00,FIUMICINO,RINAS MOTHER TERESA,ROMA,TIRANA,ITA,ALB,ITALIA,ALBANIA,5,8,8,1,N.D.,F,31-45,SINGOLA TRATTA,ITA AIRWAYS,AZ0585,RESPINTO,,,N.D.,31-45
,VRN,TIA,2024,02,3,2024-02-03 13:20:00,VERONA VILLAFRANCA,RINAS MOTHER TERESA,VERONA,TIRANA,ITA,ALB,ITALIA,ALBANIA,4,161,161,20,N.D.,M,18-30,SINGOLA TRATTA,WIZZ AIR MALTA,W43883,SEGNALATO,,,N.D.,18-30
